, InstallationID , InstallationType , PanelType      , Capacity (kW) , EnergyProduced (kWh) , MaintenanceFrequency (months) , Cost (₹) , Region        , Latitude , Longitude , TypeOfInstallation     , InstallerName  , WarrantyYears , AnnualSavings (₹) 
281, S007           ,0,2,12,720,20,56000,3,10.8505,77.6272,0,0,23,14453
282, S006           ,1,2,100,9393,5,592460,5,23.8501,77.4098,0,1,23,107127
283, S010           ,2,2,84,10500,7,542258,6,10.8505,87.855,1,3,24,121472
284, S003           ,1,2,98,10497,5,289258,1,22.614,77.0572,1,0,19,69556
285, S003           ,1,2,100,9465,5,619741,5,19.0112,86.5393,1,0,21,131369
286, S002           ,2,1,45,4908,19,310939,2,24.5231,78.6027,0,1,18,62539
287, S004           ,1,2,90,10500,6,278882,0,22.6545,75.9335,0,0,21,112298
288, S008           ,0,1,41,5942,7,294449,0,10.8505,72.6736,0,1,18,52266
289, S007           ,2,0,15,1060,18,56000,3,14.3983,75.0756,0,3,24,10000
290, S004           ,0,2,9,2620,23,296268,8,13.2008,74.7719,1,3,20,10000
291, S010           ,1,2,88,8379,6,554554,9,10.8505,71.1924,0,0,21,109883
292, S002           ,0,1,43,5054,7,344697,0,25.8767,77.2598,0,1,19,59591
293, S004           ,2,2,48,10240,17,649931,6,10.8505,74.6314,1,0,23,116719
294, S004           ,2,0,6,2195,18,66641,8,10.8505,73.8946,0,3,23,10000
295, S003           ,1,2,92,9152,5,700000,9,10.8505,84.6892,0,0,20,112030
296, S006           ,0,2,94,3091,7,310918,1,14.4829,77.0461,0,0,23,135479
297, S004           ,2,0,6,1295,20,56000,2,10.8505,75.7322,0,3,24,10000
298, S009           ,0,2,100,8481,5,579843,5,11.3474,77.3637,0,2,20,99741
299, S009           ,0,1,48,6001,6,222563,2,15.9552,75.6119,0,1,18,71681
300, S008           ,0,1,47,5185,4,309815,1,24.6796,75.8394,0,1,18,58741
301, S002           ,0,1,36,5899,8,89441,6,23.4236,71.5958,0,3,24,10000
302, S007           ,2,2,18,720,19,56000,8,10.8505,74.4567,1,3,23,10000
303, S006           ,1,2,74,9455,7,622473,6,20.7658,71.9887,1,0,20,114938
304, S008           ,0,1,46,5081,6,225348,0,22.145,75.6103,0,1,18,77699
305, S006           ,1,2,100,9723,7,670632,9,10.8505,77.1086,1,0,24,120233
306, S005           ,2,0,19,2033,18,585140,8,19.4544,74.7089,1,3,24,140187
307, S008           ,2,0,23,720,24,84577,3,10.8505,74.2447,0,3,24,19560
308, S007           ,1,2,100,8398,7,661607,1,22.4483,75.2919,1,3,20,127489
309, S004           ,2,0,8,923,18,56000,8,12.2077,76.1546,0,3,23,10000
310, S008           ,2,0,15,1306,24,56000,3,10.9968,75.2959,0,3,22,11415
311, S002           ,0,2,50,10500,5,608502,8,26.7986,77.3477,1,0,19,106770
312, S009           ,1,2,83,4568,6,605489,6,10.8505,78.0827,0,1,19,117510
313, S002           ,0,1,48,5894,7,281293,2,26.0507,76.5302,0,3,20,58820
314, S010           ,0,2,6,9558,18,571119,6,17.5482,80.9097,1,0,24,101984
315, S003           ,1,2,92,9981,6,586841,9,21.0343,87.855,1,0,20,120041
316, S008           ,0,1,52,5208,7,348810,1,23.6141,71.1924,0,2,19,68042
317, S002           ,0,1,52,5385,4,324038,7,24.2248,71.1924,1,1,20,54404
318, S005           ,0,1,50,6094,6,291593,1,21.4936,80.3047,0,1,18,67555
319, S008           ,1,0,15,1344,5,87296,9,11.0096,74.2154,0,0,18,10009
320, S002           ,0,0,55,2707,6,313567,8,12.6286,75.3156,0,1,20,70422
321, S005           ,0,1,44,5042,7,306627,7,10.8505,74.5363,0,2,19,70073
322, S007           ,0,0,45,5622,21,317648,1,17.1712,75.9382,0,2,21,72508
323, S004           ,0,1,35,1252,7,255997,5,11.3253,73.5118,0,3,20,10000
324, S006           ,2,2,9,720,6,566902,8,11.5599,76.2959,0,3,23,125727
325, S005           ,2,2,77,720,6,490810,6,10.8505,74.1466,1,3,20,25756
326, S003           ,2,0,21,2062,6,84042,3,10.8505,72.7174,0,3,24,15970
327, S010           ,1,2,40,5632,7,336530,5,21.6134,75.2935,0,1,19,58694
328, S009           ,1,2,95,9279,5,607075,3,21.5218,77.8801,1,0,19,132702
